Order,Species,MCAll,MCp,MCpf,MCc,MCg,MCh,AlloAll,SM,BMf,LT,GT,IBI,BMn,BMw,BMin,LS,LpY,ML,NoC
Dasyuromorphia,Antechinus_stuartii,0,0,0,0,0,0,0,0,23.20000081,91.25000565,30.76096815,365.0001139,0.016,16.00000001,15.984,7.250000007,1,3.000000002,385
Artiodactyla,Antidorcas_marsupialis,0,0,0,0,0,0,0,0,27899.99979,121.0000083,169.43378,365.0001139,3909.999996,NA,NA,1.005000001,0.986301063,20.00000002,499
Artiodactyla,Antilocapra_americana,0,0,0,0,0,0,1,0,44999.99857,91.25000565,247.7422058,365.0001139,3455.000002,9661.999997,6206.999994,2.000000002,1,12,829
Artiodactyla,Antilope_cervicapra,0,0,0,0,0,0,0,0,34999.99643,59.5000047,167.1090614,212.5626717,3388.000003,NA,NA,1,2.000000002,18,264
Carnivora,Aonyx_cinerea,1,1,0,0,0,0,0,1,NA,79.54000006,63.31000007,182.5000001,56.01000004,NA,NA,1.470000001,1.97260274,NA,56
Primates,Aotus_azarae,1,1,1,1,1,0,0,1,NA,229.6900001,NA,364.9999996,NA,NA,NA,1,0.986301369,NA,118
Primates,Aotus_lemurinus,1,0,0,1,1,1,1,1,920.9999996,74.56999998,132.23,364.9999996,97.46999999,NA,NA,1.010000001,0.986301369,33.79999998,136
Primates,Aotus_nancymaae,1,1,1,1,1,0,0,1,859.9999995,NA,NA,NA,NA,NA,NA,1.020000001,NA,NA,149
Primates,Aotus_trivirgatus,1,0,0,1,1,1,1,1,843.0000493,91.00000161,134.2764961,255.5000562,96.49999992,255.9899998,159.49,1,1.409001648,25.29999999,1620
Rodentia,Apodemus_agrarius,0,0,0,0,0,0,0,0,21.5,NA,19.88999999,19.49999998,1.8,NA,NA,5.64,3.499999997,3.999999997,1257
Rodentia,Apodemus_argenteus,0,0,0,0,0,0,0,1,29.05000002,NA,NA,NA,NA,NA,NA,NA,NA,4.999999996,256
Rodentia,Apodemus_flavicollis,0,0,0,0,0,0,0,0,26.99999999,NA,24.49999998,38.75000001,2.3,NA,NA,4.940000001,3.000000002,3.999999997,1519
Rodentia,Apodemus_semotus,0,0,0,0,0,0,0,0,27.41999997,NA,NA,NA,NA,NA,NA,3.56,NA,NA,40
Rodentia,Apodemus_speciosus,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4.469999999,NA,5.300000005,444
Rodentia,Apodemus_sylvaticus,0,0,0,0,0,0,0,0,22.78000001,19.36,23.68,41.28000004,1.5,NA,NA,5.160000004,3.750000002,4.399999995,5961
Rodentia,Apodemus_uralensis,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5.720000003,NA,NA,115
Primates,Arctocebus_aureus,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Primates,Arctocebus_calabarensis,0,0,0,0,0,0,0,0,276.0000114,114.9999893,133.9676687,137.7396579,31.99999998,160.0000001,128.0000001,1,2.613626356,12.99999999,29
Carnivora,Arctocephalus_gazella,0,0,0,0,0,0,0,0,35433.33335,116.28,294.6900002,364.9999996,5794.630006,13811.28999,8016.660003,1,0.986301369,NA,685
Chiroptera,Artibeus_jamaicensis,0,0,0,0,0,0,0,0,47.38546666,NA,138.7,NA,10.56999999,NA,NA,1,2.000000002,19.20000001,525
Chiroptera,Artibeus_watsoni,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,44
Primates,Ateles_belzebuth,0,0,0,0,0,0,0,0,7981.000004,NA,138.2,NA,NA,NA,NA,1.020000001,NA,27.99999998,194
Primates,Ateles_geoffroyi,0,0,0,0,0,0,0,0,7655.966069,816.3499998,226.3700001,1048.150001,425.8500004,3478.060002,3052.210001,1.010000001,0.343462291,47.09999999,724
Primates,Avahi_laniger,0,0,0,0,0,0,0,1,NA,149.1500001,136.1500001,364.9999996,NA,NA,NA,1.010000001,1,NA,76
Artiodactyla,Axis_axis,0,0,0,0,0,0,1,0,49999.9995,121.6666639,229.0867653,425.8336725,3220.499996,NA,NA,1.030000001,0.845400501,20.8,463
Rodentia,Baiomys_taylori,0,0,0,0,0,0,0,1,8.200000899,20.0000002,22.49054606,23.00000868,1.149999999,NA,NA,2.609999998,10,3.000000002,99
Cetacea,Balaena_mysticetus,0,0,0,0,0,0,0,0,NA,351.9999996,379.9000004,1642.499999,NA,NA,NA,1,0.41,39.99999997,830
Cetacea,Balaenoptera_acutorostrata,0,0,0,0,0,0,0,0,15000000,182.5000001,304.1600003,469.93,NA,NA,NA,1,1,49.99999996,1214
Cetacea,Balaenoptera_borealis,0,0,0,0,0,0,0,0,20000000.02,203.4599999,334.5800001,729.9999998,649999.9901,NA,NA,1.020000001,0.41,74.00000005,360
Cetacea,Balaenoptera_musculus,0,0,0,0,0,0,0,0,190000000,211.7099999,326.9699998,821.2500008,2738612.789,16999999.99,14261387.19,1,0.45,110,680
Cetacea,Balaenoptera_physalus,0,0,0,0,0,0,0,0,NA,196.5800001,338.3599998,729.9999998,1899999.991,NA,NA,1.010000001,0.37,115.9999999,1195
Chiroptera,Balantiopteryx_plicata,0,0,0,0,0,0,0,0,6.659999997,58.59,138.8099999,NA,2.000000002,NA,NA,0.990000001,1,NA,29
Rodentia,Bandicota_bengalensis,0,0,0,0,0,0,0,0,124,30.02999999,18.89,61.9,4.850000004,22.89999998,18.04999999,7.289999995,5.900000005,NA,442
Rodentia,Bandicota_indica,0,0,0,0,0,0,0,0,185.9999999,27.3,20.26,71.25000005,9.770000006,41.00000003,31.22999998,6.119999998,5.052631578,NA,209
Rodentia,Bandicota_savilei,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
Carnivora,Bassariscus_astutus,0,0,0,0,0,0,0,0,870.0000008,42.49999706,51.99959965,365.0001139,27.74999997,258.7000002,230.9500002,2.750000001,1,16.00000001,88
Rodentia,Beamys_hindei,0,0,0,0,0,0,0,0,84.59999999,38.48999999,22.78999999,61.99999993,3.199999998,59.20000004,56,3.49,4.999999996,NA,12
Cetacea,Berardius_bairdii,0,0,0,0,0,0,0,0,7619999.994,NA,396.5799996,NA,NA,NA,NA,0.980000001,0.33,71.00000005,74
Diprotodontia,Bettongia_gaimardi,0,0,0,0,0,0,0,0,1660.000046,155.0000007,20.98939884,106.5000962,0.3185,516.43,516.1114998,1,3.380278639,11.79999999,99
Diprotodontia,Bettongia_lesueur,0,0,0,0,0,0,0,0,1300.000143,164.9999832,21.1348904,119.5000261,0.317,303.31,302.9929999,1,3.000000002,NA,67
Diprotodontia,Bettongia_penicillata,0,0,0,0,0,0,0,0,1249.999963,150.0000141,17.98870915,101.9999597,0.29,256.8999998,256.6100002,1,3.000000002,18.79999999,130
Artiodactyla,Bison_bison,0,0,0,0,0,0,1,0,449999.9857,266.1458508,283.1391996,399.0000958,20000.00002,157500,137499.9999,1,1,33.00000001,1548
Artiodactyla,Bos_frontalis,0,0,0,0,0,0,0,0,644999.9783,205.3125041,273.5268726,403.0203724,23100.00001,NA,NA,1,1,26.19999998,318
